run,t_stat,p_value,cohens_d,fixed_mean_ns,varied_mean_ns,fixed_std_ns,varied_std_ns,significant,negligible
4680,-0.192710,0.84718797,-0.002725,294857.27,294859.74,857.12,954.57,no,yes
4681,-0.575517,0.56494794,-0.008139,295197.65,295223.05,3100.78,3140.96,no,yes
4682,0.027899,0.97774281,0.000395,294881.42,294881.03,928.40,1042.18,no,yes
4683,-0.785843,0.43196996,-0.011114,295155.41,295200.31,3202.87,4730.69,no,yes
4684,-0.038397,0.96937158,-0.000543,295059.62,295060.14,949.02,955.89,no,yes
4685,0.011129,0.99112071,0.000157,295065.88,295065.63,1525.23,1609.85,no,yes
4686,-0.410310,0.68158330,-0.005803,294862.05,294867.88,990.78,1019.68,no,yes
4687,0.257609,0.79671137,0.003643,295095.06,295091.82,944.91,828.47,no,yes
4688,0.664602,0.50631279,0.009399,294822.78,294814.12,972.41,865.31,no,yes
4689,-0.193389,0.84665643,-0.002735,294941.61,294945.39,1372.38,1387.93,no,yes
4690,-0.133307,0.89395214,-0.001885,294891.75,294895.10,1909.79,1632.21,no,yes
4691,-0.103962,0.91720042,-0.001470,294806.49,294811.67,3660.13,3380.77,no,yes
4692,-0.487849,0.62566221,-0.006899,295072.08,295078.52,883.93,979.84,no,yes
4693,0.464128,0.64256114,0.006564,295136.95,295128.84,1371.37,1084.54,no,yes
4694,-0.546137,0.58497804,-0.007724,294789.16,294802.17,1604.25,1760.83,no,yes
4695,-0.365049,0.71507850,-0.005163,295072.65,295091.78,3772.22,3637.07,no,yes
4696,-1.713832,0.08657540,-0.024237,294770.64,294810.78,1515.48,1785.52,no,yes
4697,0.419709,0.67470265,0.005936,294930.80,294924.96,1011.81,953.43,no,yes
4698,0.170352,0.86473504,0.002409,301904.73,301896.28,3915.61,3041.85,no,yes
4699,-0.109625,0.91270811,-0.001550,294812.68,294815.42,1688.39,1851.12,no,yes
4700,-0.076066,0.93936698,-0.001076,294733.68,294734.99,1176.20,1256.15,no,yes
4701,0.526657,0.59843772,0.007448,294884.01,294876.09,1106.41,1020.66,no,yes
4702,-0.256981,0.79719600,-0.003634,294946.46,294956.68,2806.46,2818.27,no,yes
4703,0.202955,0.83917209,0.002870,294783.14,294780.34,1038.75,909.20,no,yes
4704,0.239461,0.81075068,0.003386,294871.67,294868.59,919.32,897.83,no,yes
4705,0.282565,0.77751310,0.003996,295095.12,295091.12,1011.82,990.73,no,yes
4706,-0.874421,0.38189988,-0.012366,295104.65,295120.51,1147.45,1405.21,no,yes
4707,0.099871,0.92044741,0.001412,307631.61,307623.12,6164.23,5850.84,no,yes
4708,-0.178691,0.85818182,-0.002527,295030.77,295033.23,928.72,1018.35,no,yes
4709,0.890777,0.37305955,0.012597,294768.61,294757.03,952.54,884.09,no,yes
4710,0.566806,0.57085228,0.008016,295109.10,295101.39,1000.35,921.97,no,yes
4711,0.039657,0.96836669,0.000561,295122.70,295121.44,2263.50,2223.17,no,yes
4712,-0.095142,0.92420280,-0.001346,295040.10,295042.39,1937.93,1433.67,no,yes
4713,-0.553995,0.57958879,-0.007835,294798.10,294805.60,910.42,1003.20,no,yes
4714,0.352146,0.72473234,0.004980,294800.69,294795.91,1023.75,891.44,no,yes
4715,0.325751,0.74461659,0.004607,295214.93,295203.31,2747.41,2274.22,no,yes
4716,-0.576769,0.56410236,-0.008157,295050.84,295059.40,937.42,1149.13,no,yes
4717,-0.491088,0.62336949,-0.006945,295170.22,295196.12,3594.45,3860.49,no,yes
4718,-0.655640,0.51206319,-0.009272,295090.07,295099.60,990.82,1062.78,no,yes
4719,0.135840,0.89194899,0.001921,295088.41,295085.40,1565.56,1575.07,no,yes
4720,1.237909,0.21576469,0.017507,295171.84,295153.14,1166.07,960.49,no,yes
4721,1.273172,0.20297489,0.018005,294966.49,294943.00,1568.26,970.54,no,yes
4722,-0.488895,0.62492180,-0.006914,294868.05,294879.30,1409.58,1817.37,no,yes
4723,0.647012,0.51763276,0.009150,295032.61,294992.13,5250.12,3402.91,no,yes
4724,-1.134709,0.25651430,-0.016047,294887.51,294918.77,1385.73,2381.88,no,yes
4725,0.674663,0.49989916,0.009541,295111.50,295089.39,2812.18,1683.60,no,yes
4726,0.770526,0.44099807,0.010897,294821.42,294806.27,1594.81,1151.14,no,yes
4727,-1.345855,0.17836490,-0.019033,295075.91,295093.17,819.87,986.05,no,yes
4728,0.906175,0.36485415,0.012815,294872.14,294854.89,1377.07,1313.39,no,yes
4729,1.780179,0.07506239,0.025176,295140.78,295115.56,1096.18,897.28,no,yes
4730,0.834867,0.40380695,0.011807,295020.38,295000.92,2127.89,948.91,no,yes
4731,0.175193,0.86093015,0.002478,294856.80,294852.92,1731.81,1381.69,no,yes
4732,-0.192455,0.84738804,-0.002722,295126.37,295132.06,1746.71,2386.62,no,yes
4733,-1.299438,0.19380925,-0.018377,294861.97,294877.92,764.31,960.01,no,yes
4734,-0.705277,0.48064618,-0.009974,295033.17,295044.85,1034.93,1293.23,no,yes
4735,0.596483,0.55086024,0.008436,295064.35,295046.23,2557.32,1639.07,no,yes
4736,-0.898974,0.36867771,-0.012713,294982.85,295037.48,3892.46,4667.03,no,yes
4737,-0.047680,0.96197171,-0.000674,294858.91,294859.64,1067.44,1073.15,no,yes
4738,-0.302525,0.76225540,-0.004278,295117.88,295132.36,3343.38,3424.78,no,yes
4739,-0.241147,0.80944335,-0.003410,295073.35,295079.37,1833.41,1692.39,no,yes
