run,t_stat,p_value,cohens_d,fixed_mean_ns,varied_mean_ns,fixed_std_ns,varied_std_ns,significant,negligible
1,-0.043535,0.96527545,-0.000616,294940.32,294941.46,1994.38,1721.59,no,yes
2,-0.665978,0.50543275,-0.009418,301666.75,301879.88,22727.61,22531.25,no,yes
3,-0.366602,0.71392009,-0.005185,305520.25,305700.96,34726.59,34986.63,no,yes
4,-0.578030,0.56325060,-0.008175,295893.28,295970.36,9326.63,9532.19,no,yes
5,-1.816927,0.06924903,-0.025695,294784.79,294879.93,2266.81,4720.15,no,yes
6,-0.314624,0.75305040,-0.004449,482524.72,482716.34,42232.75,43885.30,no,yes
7,-0.532519,0.59437287,-0.007531,295105.52,295128.29,2895.51,3145.21,no,yes
8,-1.479700,0.13897125,-0.020926,294880.65,294907.88,1022.92,1530.12,no,yes
9,-1.049509,0.29395717,-0.014842,294987.08,295014.72,1677.75,2029.11,no,yes
10,0.087267,0.93045997,0.001234,294767.89,294766.61,1051.87,1026.33,no,yes
11,0.204066,0.83830415,0.002886,295181.14,295160.33,7314.63,7104.72,no,yes
12,0.753789,0.45098619,0.010660,302531.55,302513.49,1969.93,1364.18,no,yes
13,0.774463,0.43867167,0.010953,295236.10,295215.22,2531.47,927.80,no,yes
14,-0.595758,0.55134513,-0.008425,294829.94,294847.97,1509.18,2623.48,no,yes
15,0.214562,0.83011118,0.003034,295068.05,295065.16,971.76,935.78,no,yes
16,0.331124,0.74055432,0.004683,295112.12,295106.79,1096.30,1178.75,no,yes
17,0.178192,0.85857433,0.002520,294919.11,294916.40,1150.35,999.95,no,yes
18,-0.070912,0.94346829,-0.001003,295176.64,295182.90,6203.63,6279.94,no,yes
19,-1.298705,0.19406085,-0.018366,294810.35,294829.53,923.43,1152.39,no,yes
20,0.351061,0.72554662,0.004965,294924.40,294916.74,1677.64,1397.51,no,yes
21,0.390618,0.69608361,0.005524,294861.62,294855.34,1251.31,1010.70,no,yes
22,-0.073058,0.94176060,-0.001033,295075.78,295077.22,1613.36,1120.55,no,yes
23,-0.360108,0.71876987,-0.005093,295071.79,295078.88,1382.75,1398.55,no,yes
24,-0.299177,0.76480840,-0.004231,300891.38,300917.38,6090.23,6203.51,no,yes
25,0.698891,0.48462901,0.009884,294873.61,294862.40,1292.20,949.72,no,yes
26,0.301168,0.76328988,0.004259,295099.81,295077.22,5545.35,5053.33,no,yes
27,0.194384,0.84587694,0.002749,294769.46,294766.75,1037.33,934.52,no,yes
28,-0.244910,0.80652888,-0.003464,295045.86,295049.76,1240.91,999.54,no,yes
29,-0.744450,0.45661344,-0.010528,294702.22,294711.52,814.14,947.18,no,yes
30,0.447364,0.65461747,0.006327,294775.93,294768.79,1174.08,1081.18,no,yes
31,-1.447981,0.14763889,-0.020478,294786.43,294809.72,992.95,1264.69,no,yes
32,-0.013632,0.98912399,-0.000193,295947.46,295950.59,16186.39,16309.37,no,yes
33,0.433901,0.66436473,0.006136,294777.26,294765.20,1953.02,1979.46,no,yes
34,0.722288,0.47012622,0.010215,294842.11,294830.09,1231.93,1118.97,no,yes
35,-0.429359,0.66766657,-0.006072,295052.77,295074.15,3104.88,3895.30,no,yes
36,-0.092331,0.92643586,-0.001306,294792.29,294793.80,1033.46,1258.40,no,yes
37,-0.727371,0.46700752,-0.010287,294886.72,294903.82,1666.90,1658.24,no,yes
38,-0.627080,0.53061404,-0.008868,294850.93,294860.30,921.43,1175.22,no,yes
39,0.022670,0.98191363,0.000321,294778.98,294778.67,944.76,985.54,no,yes
40,0.360137,0.71874834,0.005093,295048.94,295040.37,1697.22,1666.52,no,yes
41,1.097579,0.27240526,0.015522,294990.66,294956.07,2758.47,1524.93,no,yes
42,-0.053950,0.95697549,-0.000763,294841.44,294842.43,1266.27,1318.88,no,yes
43,0.189475,0.84972281,0.002680,295070.91,295061.50,3690.42,3321.43,no,yes
44,-0.642695,0.52042986,-0.009089,294979.46,294988.12,871.65,1027.51,no,yes
45,-0.142260,0.88687570,-0.002012,307511.75,307519.46,4038.91,3623.09,no,yes
46,-0.901023,0.36758772,-0.012742,294765.24,294784.53,1272.24,1721.56,no,yes
47,-0.026435,0.97891088,-0.000374,295059.27,295059.70,1230.73,1090.62,no,yes
48,-0.619065,0.53588072,-0.008755,294886.37,294896.55,1145.40,1179.76,no,yes
49,-0.788890,0.43018574,-0.011157,294870.62,294881.90,997.64,1023.65,no,yes
50,-1.194413,0.23233085,-0.016892,295048.76,295062.84,760.18,901.95,no,yes
51,-0.020089,0.98397224,-0.000284,294955.43,294955.72,1054.26,981.71,no,yes
52,0.482499,0.62945692,0.006824,294867.15,294849.42,2892.18,2267.65,no,yes
53,-0.266850,0.78958746,-0.003774,294881.07,294885.81,1319.74,1189.05,no,yes
54,-0.899635,0.36832560,-0.012723,294785.77,294806.15,1516.02,1682.89,no,yes
55,1.260966,0.20733620,0.017833,295089.36,295073.69,944.82,807.15,no,yes
56,1.034698,0.30082315,0.014633,294846.90,294829.75,1299.00,1028.87,no,yes
57,-0.656568,0.51146696,-0.009285,294840.61,294855.87,1318.21,1913.50,no,yes
58,0.580183,0.56179823,0.008205,294913.02,294898.19,2064.27,1506.82,no,yes
59,-0.668048,0.50411409,-0.009448,295284.49,295301.20,1032.66,2277.33,no,yes
60,0.204760,0.83776172,0.002896,294932.45,294929.49,1091.65,942.66,no,yes
61,0.551535,0.58127345,0.007800,294974.48,294963.50,1553.30,1244.75,no,yes
62,-0.204792,0.83773663,-0.002896,295200.33,295219.78,6575.53,6854.63,no,yes
63,0.054196,0.95677924,0.000766,294880.00,294879.31,881.31,922.13,no,yes
64,0.372962,0.70918080,0.005274,295318.28,295296.43,4374.47,3895.17,no,yes
65,0.212917,0.83139408,0.003011,294873.84,294871.08,994.73,832.06,no,yes
66,-0.432480,0.66539738,-0.006116,305421.13,305463.47,6514.71,7307.90,no,yes
67,-0.013200,0.98946872,-0.000187,302636.32,302636.49,980.56,807.88,no,yes
68,-0.415673,0.67765425,-0.005878,296695.44,296717.08,3252.25,4064.64,no,yes
69,0.009682,0.99227484,0.000137,295090.98,295090.77,1815.13,1311.11,no,yes
70,-0.294311,0.76852325,-0.004162,296357.27,296361.98,1259.68,987.34,no,yes
71,1.076071,0.28190857,0.015218,295090.54,295075.85,981.42,948.70,no,yes
72,-0.483447,0.62878366,-0.006837,294875.58,294883.61,1130.68,1218.54,no,yes
73,0.108763,0.91339130,0.001538,295339.12,295329.75,6185.80,6001.77,no,yes
74,-0.885820,0.37572559,-0.012527,295075.40,295095.19,1457.69,1693.31,no,yes
75,-0.178467,0.85835827,-0.002524,294792.88,294796.23,1330.42,1320.30,no,yes
76,0.837577,0.40227830,0.011845,294859.75,294848.03,1049.13,926.51,no,yes
77,0.859553,0.39004639,0.012156,294878.81,294866.73,1100.33,873.33,no,yes
78,0.641800,0.52101227,0.009076,295094.95,295074.44,2745.80,1634.07,no,yes
79,0.450555,0.65231500,0.006372,294945.97,294935.00,1722.50,1719.12,no,yes
80,0.646633,0.51787722,0.009145,295033.10,295025.02,925.67,839.86,no,yes
81,0.064734,0.94838612,0.000915,294982.46,294978.54,4652.23,3888.39,no,yes
82,1.028900,0.30354118,0.014551,294880.56,294860.87,1602.84,1045.31,no,yes
83,0.426025,0.67009437,0.006025,294909.22,294889.98,3286.45,3098.17,no,yes
84,0.090660,0.92776377,0.001282,294781.25,294779.43,1416.79,1419.43,no,yes
85,0.213020,0.83131390,0.003013,295238.98,295229.67,3672.92,2369.65,no,yes
86,-0.618038,0.53655733,-0.008740,295130.76,295152.22,2305.03,2597.73,no,yes
87,1.783129,0.07458196,0.025217,307498.88,307473.86,1138.78,819.93,no,yes
88,-0.399986,0.68917085,-0.005657,294861.01,294866.98,982.07,1124.57,no,yes
89,-0.110599,0.91193571,-0.001564,295125.91,295127.55,1043.39,1053.38,no,yes
90,0.456999,0.64767640,0.006463,294848.36,294841.55,1062.18,1046.30,no,yes
91,-0.026711,0.97869026,-0.000378,294980.60,294981.03,1136.91,1168.60,no,yes
92,-0.189855,0.84942504,-0.002685,295007.17,295012.26,1870.80,1919.72,no,yes
93,-0.409606,0.68209959,-0.005793,294853.85,294859.77,964.89,1078.17,no,yes
94,-0.177264,0.85930268,-0.002507,295180.81,295183.03,887.13,890.37,no,yes
95,-1.510049,0.13104795,-0.021355,294803.55,294831.21,1111.09,1456.24,no,yes
96,0.001003,0.99919966,0.000014,295034.24,295034.21,2005.65,1512.85,no,yes
97,0.153300,0.87816348,0.002168,295147.37,295144.93,1168.45,1085.29,no,yes
98,0.305766,0.75978622,0.004324,295033.74,295028.10,1454.93,1136.15,no,yes
99,0.734572,0.46260909,0.010388,294913.86,294904.52,901.42,895.61,no,yes
100,1.020566,0.30747430,0.014433,295112.63,295091.07,1764.22,1162.07,no,yes
101,0.289327,0.77233421,0.004092,294935.97,294931.54,1105.30,1059.02,no,yes
102,1.020019,0.30773306,0.014425,294868.67,294852.53,1289.72,916.73,no,yes
103,0.698146,0.48509407,0.009873,294836.68,294826.49,1073.62,988.63,no,yes
104,-0.454673,0.64934985,-0.006430,295165.75,295189.21,3206.94,4044.69,no,yes
105,1.627252,0.10370379,0.023013,294792.19,294749.46,2301.35,1264.61,no,yes
106,-0.433215,0.66486300,-0.006127,363876.23,363890.25,2172.66,2396.47,no,yes
107,0.330443,0.74106904,0.004673,294969.30,294962.34,1462.73,1514.83,no,yes
108,-0.602866,0.54660480,-0.008526,295195.87,295203.33,864.85,883.59,no,yes
109,0.564050,0.57272684,0.007977,295151.57,295144.11,1024.46,836.76,no,yes
110,-0.887006,0.37508672,-0.012544,295129.02,295143.22,1206.63,1051.94,no,yes
111,-0.569897,0.56875396,-0.008060,295011.71,295032.97,2634.34,2642.67,no,yes
112,-0.254528,0.79908998,-0.003600,294775.33,294780.25,1326.53,1404.89,no,yes
113,0.828655,0.40730959,0.011719,294888.38,294877.50,986.21,866.80,no,yes
114,-1.768329,0.07702179,-0.025008,307521.70,307547.56,928.57,1129.22,no,yes
115,0.323861,0.74604701,0.004580,294852.97,294847.47,1264.88,1133.49,no,yes
116,-0.060041,0.95212360,-0.000849,295102.67,295103.59,1018.96,1155.74,no,yes
117,-0.801350,0.42294012,-0.011333,295001.91,295016.72,996.65,1557.24,no,yes
118,-0.593249,0.55302091,-0.008390,295058.22,295066.57,986.24,1004.66,no,yes
119,0.531003,0.59542283,0.007510,294771.62,294764.08,1058.31,945.69,no,yes
120,-0.739343,0.45970819,-0.010456,294980.83,294999.96,1588.92,2043.43,no,yes
121,-0.526783,0.59835011,-0.007450,294834.02,294843.13,1191.54,1254.89,no,yes
122,0.490115,0.62405796,0.006931,295044.85,295031.53,2047.09,1787.87,no,yes
123,-0.020397,0.98372672,-0.000288,294917.81,294918.83,3152.84,3899.85,no,yes
124,1.275765,0.20205485,0.018042,294849.39,294829.23,1272.29,937.71,no,yes
125,-0.022932,0.98170490,-0.000324,295176.04,295177.26,3189.04,4220.16,no,yes
126,1.957596,0.05029202,0.027685,294740.28,294714.71,1023.18,811.83,no,yes
127,-0.664903,0.50612019,-0.009403,294956.55,294968.12,1162.34,1294.50,no,yes
128,0.332799,0.73928968,0.004706,295269.00,295264.19,999.98,1043.17,no,yes
129,-0.164844,0.86906876,-0.002331,295326.64,295334.33,3549.11,3029.74,no,yes
130,-1.337486,0.18107973,-0.018915,363879.02,363901.86,1094.20,1310.35,no,yes
131,-0.218360,0.82715121,-0.003088,294892.37,294897.40,1594.71,1664.19,no,yes
132,0.090389,0.92797882,0.001278,294786.88,294785.47,1107.69,1104.15,no,yes
133,0.145629,0.88421575,0.002060,295151.28,295138.33,6415.91,6154.39,no,yes
134,-0.301865,0.76275829,-0.004269,308885.26,308888.75,783.85,850.39,no,yes
135,0.302348,0.76239043,0.004276,294802.08,294795.74,1695.23,1235.50,no,yes
136,0.422891,0.67237972,0.005981,302813.94,302777.40,6458.26,5739.15,no,yes
137,0.249722,0.80280454,0.003532,295012.38,295009.35,865.63,850.68,no,yes
138,-0.362675,0.71685146,-0.005129,295031.27,295036.05,907.60,958.99,no,yes
139,0.387438,0.69843589,0.005479,294939.25,294934.29,935.17,875.69,no,yes
140,-0.329340,0.74190267,-0.004658,295001.67,295009.38,1902.16,1361.84,no,yes
141,0.069781,0.94436867,0.000987,294808.92,294807.17,1791.61,1752.57,no,yes
142,0.409019,0.68253030,0.005784,295057.75,295050.45,1349.09,1168.09,no,yes
143,0.327830,0.74304364,0.004636,295042.66,295037.92,1006.26,1040.26,no,yes
144,0.352167,0.72471712,0.004980,294819.99,294815.35,989.39,871.48,no,yes
145,1.301753,0.19301728,0.018410,305172.71,305152.67,1252.43,895.66,no,yes
146,-0.338309,0.73513409,-0.004784,294945.14,294964.87,3764.73,4452.56,no,yes
147,0.652387,0.51415996,0.009226,295078.05,295066.94,1388.14,984.78,no,yes
148,-0.252349,0.80077443,-0.003569,294877.41,294882.02,1116.42,1444.06,no,yes
149,-0.472034,0.63690746,-0.006676,295040.85,295047.06,948.35,912.76,no,yes
150,-0.653039,0.51373936,-0.009235,294848.37,294861.29,1199.97,1573.57,no,yes
151,0.392230,0.69489256,0.005547,295121.28,295114.58,1286.49,1124.57,no,yes
152,-0.476370,0.63381639,-0.006737,295106.19,295128.44,2989.26,3588.73,no,yes
153,-1.505951,0.13209606,-0.021297,294813.28,294836.13,963.74,1171.50,no,yes
154,-0.189414,0.84977036,-0.002679,295716.57,295718.91,871.55,873.31,no,yes
155,0.031988,0.97448167,0.000452,294952.74,294952.27,1133.35,947.76,no,yes
156,1.642642,0.10047415,0.023230,294820.43,294798.10,1098.36,800.78,no,yes
157,0.094086,0.92504213,0.001331,300573.72,300571.54,1363.35,1878.74,no,yes
158,-0.164668,0.86920736,-0.002329,307453.28,307458.44,2352.56,2067.31,no,yes
159,0.925740,0.35459230,0.013092,295091.28,295079.32,967.17,856.01,no,yes
160,-0.068573,0.94533041,-0.000970,294748.91,294750.00,1102.72,1136.53,no,yes
161,1.227867,0.21951178,0.017365,295132.29,295115.84,1036.93,848.24,no,yes
162,-0.696350,0.48621877,-0.009848,294941.35,294958.96,1402.03,2105.17,no,yes
163,1.328581,0.18401218,0.018789,294902.51,294859.85,3081.84,899.21,no,yes
164,-1.291763,0.19645527,-0.018268,294887.63,294908.35,962.81,1282.82,no,yes
165,0.700813,0.48342827,0.009911,294810.73,294793.10,1905.35,1642.49,no,yes
166,0.293436,0.76919169,0.004150,295092.55,295087.53,1256.65,1159.28,no,yes
167,-1.231409,0.21818722,-0.017415,294953.29,294975.55,943.60,1541.11,no,yes
168,-0.043756,0.96509972,-0.000619,294897.88,294898.65,1353.07,1109.02,no,yes
169,0.366286,0.71415540,0.005180,295089.91,295083.33,1275.42,1262.12,no,yes
170,0.483060,0.62905838,0.006832,294987.61,294980.57,1105.51,949.12,no,yes
171,-2.060317,0.03938249,-0.029137,294884.97,294924.31,1116.62,1548.55,yes,yes
172,-0.113638,0.90952570,-0.001607,294963.13,294972.96,6138.10,6098.25,no,yes
173,0.117755,0.90626291,0.001665,294901.98,294900.04,1206.76,1123.96,no,yes
174,-0.152611,0.87870658,-0.002158,295076.12,295083.79,3492.87,3612.54,no,yes
175,-1.105525,0.26894845,-0.015634,295113.85,295135.96,1021.52,1720.22,no,yes
176,-0.247258,0.80471083,-0.003497,295072.51,295094.01,5899.09,6389.48,no,yes
177,-0.704821,0.48093008,-0.009968,294938.21,294948.67,943.03,1146.84,no,yes
178,-0.402877,0.68704310,-0.005698,294964.82,294970.60,944.36,1077.61,no,yes
179,-0.530386,0.59585032,-0.007501,295163.73,295176.64,1594.00,1837.96,no,yes
180,-0.183745,0.85421528,-0.002599,294854.31,294856.70,916.50,921.37,no,yes
181,0.214694,0.83000804,0.003036,294878.45,294875.44,1043.13,934.78,no,yes
182,0.182760,0.85498808,0.002585,294776.64,294774.02,1043.97,981.12,no,yes
183,0.580982,0.56125911,0.008216,295800.35,295785.33,1876.45,1779.25,no,yes
184,-0.650565,0.51533619,-0.009200,294863.64,294903.07,3372.48,5034.91,no,yes
185,0.054385,0.95662897,0.000769,294908.62,294907.17,1863.52,1907.81,no,yes
186,-0.358438,0.72001951,-0.005069,295001.13,295009.43,1518.21,1745.56,no,yes
187,0.106901,0.91486862,0.001512,294942.55,294941.08,976.46,964.49,no,yes
188,0.029290,0.97663352,0.000414,295213.34,295210.27,7474.10,7349.22,no,yes
189,-0.322994,0.74670329,-0.004568,295369.88,295398.17,5917.29,6455.80,no,yes
190,0.112921,0.91009466,0.001597,294947.30,294945.15,1382.82,1307.39,no,yes
191,-0.576518,0.56427142,-0.008153,294845.75,294860.94,1809.25,1917.33,no,yes
192,0.371012,0.71063239,0.005247,295055.26,295050.52,891.85,914.52,no,yes
193,-0.044472,0.96452865,-0.000629,294869.67,294870.47,1457.24,1060.85,no,yes
194,0.326484,0.74406173,0.004617,294702.42,294697.90,1036.64,918.99,no,yes
195,-0.314217,0.75335923,-0.004444,295178.64,295186.07,1642.62,1697.97,no,yes
196,-0.262357,0.79304904,-0.003710,294974.61,294979.34,1183.97,1357.61,no,yes
197,0.345480,0.72973703,0.004886,294775.44,294771.08,890.95,892.37,no,yes
198,-0.227378,0.82013223,-0.003216,295137.14,295141.40,1216.82,1422.92,no,yes
199,0.176534,0.85987648,0.002497,294911.33,294908.80,1051.81,972.12,no,yes
200,-0.473276,0.63602145,-0.006693,294929.63,294944.71,2204.55,2299.25,no,yes
201,-0.718459,0.47248283,-0.010161,294838.47,294854.95,1612.87,1631.25,no,yes
202,0.503219,0.61481603,0.007117,295072.76,295066.89,852.12,797.43,no,yes
203,-0.028761,0.97705511,-0.000407,295076.47,295076.97,1304.64,1134.69,no,yes
204,-0.544767,0.58591966,-0.007704,294887.39,294896.03,1061.57,1179.66,no,yes
205,-0.581673,0.56079420,-0.008226,295114.98,295124.67,1015.07,1321.34,no,yes
206,0.012263,0.99021617,0.000173,295114.90,295114.71,1109.23,1046.46,no,yes
207,0.287707,0.77357463,0.004069,294829.08,294814.34,4299.51,2786.82,no,yes
208,-0.095238,0.92412705,-0.001347,295065.43,295066.79,934.59,1086.07,no,yes
209,-0.177632,0.85901379,-0.002512,295078.68,295081.82,1328.63,1168.20,no,yes
210,-0.278739,0.78044772,-0.003942,295283.82,295308.01,5894.77,6368.33,no,yes
211,-1.024572,0.30557919,-0.014490,294971.95,294988.26,894.60,1316.29,no,yes
212,0.789527,0.42981451,0.011166,294925.48,294908.24,1806.94,1226.36,no,yes
213,0.011789,0.99059441,0.000167,296352.45,296349.26,19091.55,19187.86,no,yes
214,1.587799,0.11234849,0.022455,294679.32,294657.94,1052.59,840.08,no,yes
215,1.032398,0.30189814,0.014600,294925.53,294909.25,1140.99,1087.86,no,yes
216,-1.245494,0.21296860,-0.017614,294811.01,294836.95,1019.59,1815.19,no,yes
217,-0.172903,0.86272956,-0.002445,294971.21,294975.82,1878.04,1889.54,no,yes
218,-0.870103,0.38425430,-0.012305,297868.58,297881.92,1071.86,1096.05,no,yes
219,0.566636,0.57096804,0.008013,295012.49,295000.96,1521.51,1350.47,no,yes
220,-0.353958,0.72337390,-0.005006,295060.41,295083.93,4498.86,4890.22,no,yes
221,-0.506293,0.61265726,-0.007160,295076.47,295085.41,994.01,1459.85,no,yes
222,-0.056605,0.95486049,-0.000801,295029.97,295035.09,6450.44,6346.66,no,yes
223,0.796130,0.42596583,0.011259,294888.14,294876.06,1146.29,994.96,no,yes
224,-0.564235,0.57260107,-0.007979,294881.28,294915.81,3833.16,4770.36,no,yes
225,0.117913,0.90613800,0.001668,294781.06,294778.73,1487.89,1299.58,no,yes
226,-0.192532,0.84732766,-0.002723,295266.29,295283.54,6275.99,6390.62,no,yes
227,0.116481,0.90727283,0.001647,295097.67,295087.50,6418.99,5922.25,no,yes
228,-0.676344,0.49883039,-0.009565,294953.47,294964.59,1167.02,1158.87,no,yes
229,-0.507411,0.61187241,-0.007176,294952.38,294968.46,2167.10,2313.80,no,yes
230,-0.126667,0.89920510,-0.001791,295281.54,295283.15,896.63,905.46,no,yes
231,-0.963762,0.33517806,-0.013630,294998.31,295013.67,938.19,1288.59,no,yes
232,0.281313,0.77847310,0.003978,294847.55,294844.14,892.01,821.15,no,yes
233,0.631142,0.52795557,0.008926,294942.52,294928.69,1726.03,1351.22,no,yes
234,-1.624116,0.10436786,-0.022968,305767.50,305821.64,2035.74,2639.64,no,yes
235,-0.423151,0.67218941,-0.005984,294849.65,294855.87,1021.86,1055.85,no,yes
236,1.523675,0.12761023,0.021548,301161.90,301136.38,1466.47,809.11,no,yes
237,0.994686,0.31990166,0.014067,294781.47,294766.14,1217.27,945.18,no,yes
238,1.255321,0.20938141,0.017753,294795.61,294767.26,1989.53,1068.06,no,yes
239,-0.697727,0.48535678,-0.009867,295090.85,295103.48,1056.27,1470.05,no,yes
240,0.338104,0.73528840,0.004782,295050.23,295045.45,1042.48,954.18,no,yes
241,0.015673,0.98749509,0.000222,294840.63,294839.90,3381.39,3196.49,no,yes
242,0.070959,0.94343089,0.001004,294871.94,294870.72,1077.41,1340.02,no,yes
243,0.525491,0.59924802,0.007432,294868.22,294857.23,1596.92,1351.27,no,yes
244,-0.122022,0.90288256,-0.001726,295281.81,295292.55,6273.49,6169.69,no,yes
245,0.479134,0.63184841,0.006776,295051.11,295043.52,1220.34,1009.01,no,yes
246,-0.043408,0.96537650,-0.000614,294965.36,294967.47,3537.94,3340.97,no,yes
247,-0.367692,0.71310666,-0.005200,295031.66,295036.88,921.39,1078.36,no,yes
248,-0.276985,0.78179439,-0.003917,295241.46,295265.53,5879.70,6395.55,no,yes
249,0.899150,0.36858443,0.012716,294815.45,294803.73,1042.19,783.74,no,yes
250,-0.480911,0.63058509,-0.006801,295002.89,295011.15,1138.70,1286.08,no,yes
251,-1.188312,0.23472508,-0.016805,294805.78,294849.91,2415.90,2820.05,no,yes
252,0.099187,0.92099121,0.001403,294910.70,294909.26,945.22,1095.17,no,yes
253,-0.384503,0.70061002,-0.005438,294856.43,294861.89,1069.83,933.52,no,yes
254,-0.302484,0.76228650,-0.004278,295056.31,295060.73,1101.71,962.93,no,yes
255,-0.702052,0.48265695,-0.009929,294862.74,294892.15,2074.77,3639.52,no,yes
256,-0.900823,0.36769554,-0.012740,294785.27,294827.68,2416.49,4040.04,no,yes
257,0.031795,0.97463574,0.000450,295142.99,295142.53,932.63,1083.32,no,yes
258,-0.298236,0.76552612,-0.004218,393156.34,393161.14,1261.04,1001.96,no,yes
259,-1.330645,0.18332372,-0.018818,294805.66,294844.49,1566.59,2462.24,no,yes
260,0.096333,0.92325712,0.001362,295012.25,295009.40,2065.55,2117.04,no,yes
261,-0.258184,0.79626758,-0.003651,294883.29,294887.11,1033.99,1060.62,no,yes
262,-0.681528,0.49554574,-0.009638,295069.77,295083.18,1212.03,1550.62,no,yes
263,-0.639222,0.52268590,-0.009040,295055.45,295064.91,1027.39,1064.44,no,yes
264,-0.382059,0.70242186,-0.005403,295379.10,295418.22,6889.47,7573.92,no,yes
265,0.643207,0.52009693,0.009096,295126.92,295116.46,1187.61,1110.67,no,yes
266,-0.079535,0.93660789,-0.001125,296095.16,296096.60,1261.81,1305.58,no,yes
267,0.323210,0.74653994,0.004571,294888.16,294872.46,3414.27,3454.02,no,yes
268,-0.554702,0.57910467,-0.007845,294861.07,294869.78,1075.74,1143.21,no,yes
269,-0.445635,0.65586587,-0.006302,294768.24,294775.54,1155.21,1160.91,no,yes
270,0.238745,0.81130592,0.003376,294769.84,294766.76,943.56,880.45,no,yes
271,-0.443684,0.65727682,-0.006275,294871.45,294883.74,1459.80,2353.39,no,yes
272,0.646508,0.51795826,0.009143,294959.28,294950.99,986.38,819.68,no,yes
273,0.553784,0.57973254,0.007832,295094.41,295087.29,909.46,910.45,no,yes
274,0.243081,0.80794534,0.003438,295098.27,295094.99,987.23,917.06,no,yes
275,-0.424960,0.67087044,-0.006010,294765.49,294777.99,2047.91,2111.81,no,yes
276,-0.397755,0.69081476,-0.005625,294754.95,294764.67,1708.21,1747.26,no,yes
277,-1.386900,0.16548813,-0.019614,295020.17,295043.74,1119.64,1279.15,no,yes
278,-0.455973,0.64841453,-0.006448,294966.40,294972.51,907.33,987.94,no,yes
279,-1.134922,0.25642462,-0.016050,294770.94,294799.05,1280.71,2119.99,no,yes
280,-0.794874,0.42669706,-0.011241,294900.08,294917.45,1298.66,1757.69,no,yes
281,-0.299418,0.76462399,-0.004234,295147.12,295164.61,3833.12,4407.97,no,yes
282,1.039093,0.29877422,0.014695,294895.99,294874.20,1550.00,1412.52,no,yes
283,-0.349159,0.72697426,-0.004938,295124.90,295141.70,2746.36,3949.35,no,yes
284,-0.630921,0.52809938,-0.008923,294753.38,294761.24,859.96,901.86,no,yes
285,0.463623,0.64292336,0.006557,295023.72,295016.35,1275.69,948.76,no,yes
286,-0.210053,0.83362846,-0.002971,295125.42,295143.94,6294.65,6179.48,no,yes
287,-0.942818,0.34578560,-0.013333,295012.56,295025.28,951.55,955.82,no,yes
288,-0.266542,0.78982488,-0.003769,294864.50,294868.26,990.00,1002.61,no,yes
289,-0.198052,0.84300675,-0.002801,295064.44,295067.27,972.29,1043.05,no,yes
290,0.337494,0.73574817,0.004773,295301.73,295272.26,6403.95,5937.24,no,yes
291,-0.004705,0.99624593,-0.000067,294868.71,294868.77,869.33,888.90,no,yes
292,0.351155,0.72547584,0.004966,294718.15,294713.83,896.10,843.06,no,yes
293,-0.551577,0.58124468,-0.007800,294766.49,294780.85,1749.55,1927.07,no,yes
294,-0.655011,0.51246853,-0.009263,294770.01,294779.36,1003.74,1014.38,no,yes
295,-0.219159,0.82652868,-0.003099,294985.89,294991.41,1901.26,1657.58,no,yes
296,-1.022058,0.30676613,-0.014454,294783.56,294799.25,1004.98,1161.24,no,yes
297,-0.289601,0.77212444,-0.004096,294928.84,294937.77,2085.68,2272.20,no,yes
298,-0.202922,0.83919789,-0.002870,294945.07,294955.91,3319.65,4186.00,no,yes
299,1.087961,0.27662587,0.015386,294785.61,294767.37,1301.29,1057.44,no,yes
300,0.101407,0.91922823,0.001434,295033.95,295028.75,3906.29,3309.04,no,yes
301,-0.180542,0.85672883,-0.002553,295122.95,295125.96,1056.72,1283.73,no,yes
302,0.091878,0.92679604,0.001299,295123.31,295117.96,4457.69,3743.39,no,yes
303,0.286093,0.77480978,0.004046,295108.51,295083.64,6195.28,6096.57,no,yes
304,-0.157453,0.87488946,-0.002227,294806.80,294809.05,1080.41,933.24,no,yes
305,0.535893,0.59203859,0.007579,295039.82,295030.42,1355.81,1111.95,no,yes
306,-0.678138,0.49769242,-0.009590,294754.40,294768.84,1572.34,1436.27,no,yes
307,-0.207438,0.83566975,-0.002934,295162.52,295180.52,6082.96,6186.09,no,yes
308,-0.584767,0.55871206,-0.008270,294862.11,294885.37,2248.82,3282.22,no,yes
309,0.147259,0.88292897,0.002083,294853.48,294850.01,1962.10,1304.02,no,yes
310,0.392791,0.69447917,0.005555,295271.34,295258.29,2838.64,1725.33,no,yes
311,0.439883,0.66002671,0.006221,294931.34,294911.33,3366.66,3057.87,no,yes
312,0.384135,0.70088287,0.005432,294768.91,294761.35,1462.10,1317.71,no,yes
313,0.051037,0.95929619,0.000722,294792.02,294789.72,3278.33,3088.67,no,yes
314,-0.485025,0.62766412,-0.006859,294732.38,294741.15,1409.72,1133.89,no,yes
315,-0.144639,0.88499769,-0.002045,294928.50,294935.66,3661.56,3331.70,no,yes
316,-0.495924,0.61995379,-0.007013,295069.70,295077.64,1062.76,1198.14,no,yes
317,-0.516796,0.60530439,-0.007309,294960.27,294987.47,3208.73,4170.03,no,yes
318,-1.461338,0.14393910,-0.020666,294774.78,294800.54,1110.97,1368.82,no,yes
319,-0.517625,0.60472650,-0.007320,295203.50,295213.43,1081.44,1585.63,no,yes
