run,t_stat,p_value,cohens_d,fixed_mean_ns,random_mean_ns,fixed_std_ns,random_std_ns,significant,negligible
72,0.141467,0.88750248,0.002001,293395.92,293394.06,917.44,945.25,no,yes
73,-0.462875,0.64345872,-0.006546,293364.38,293378.24,2114.24,2121.81,no,yes
74,0.868742,0.38499862,0.012286,293571.99,293558.58,1114.50,1068.26,no,yes
75,-0.274715,0.78353798,-0.003885,293547.96,293573.40,6379.81,6715.21,no,yes
76,0.239146,0.81099513,0.003382,293283.74,293277.47,2251.94,1342.09,no,yes
77,0.305042,0.76033741,0.004314,293283.09,293275.73,1740.06,1672.10,no,yes
78,0.122425,0.90256380,0.001731,293643.07,293640.36,1594.41,1536.14,no,yes
79,-0.526241,0.59872705,-0.007442,293397.85,293426.28,3376.86,4216.66,no,yes
80,0.701430,0.48304291,0.009920,293311.23,293277.34,3653.52,3160.60,no,yes
81,1.033751,0.30126499,0.014619,293491.80,293479.60,836.23,833.14,no,yes
82,1.193491,0.23269183,0.016879,293230.86,293209.45,1364.87,1164.28,no,yes
83,0.973816,0.33015980,0.013772,293386.89,293368.46,1234.01,1434.51,no,yes
84,-0.489281,0.62464831,-0.006919,293229.67,293245.06,2085.39,2352.47,no,yes
85,-1.009360,0.31281472,-0.014275,293530.16,293579.68,3113.95,3791.46,no,yes
86,-2.274861,0.02293375,-0.032171,301263.02,301381.12,1021.44,5090.33,yes,yes
87,0.547272,0.58419811,0.007740,293293.83,293282.34,1457.99,1508.38,no,yes
88,0.323159,0.74657854,0.004570,293266.60,293258.68,1666.66,1793.87,no,yes
89,0.605938,0.54456307,0.008569,293331.27,293321.16,1166.64,1192.77,no,yes
90,0.583515,0.55955358,0.008252,293696.32,293651.86,5477.13,5296.70,no,yes
91,1.757734,0.07881102,0.024858,293413.74,293352.88,2934.77,1837.07,no,yes
92,-0.106121,0.91548715,-0.001501,293313.93,293319.56,3723.15,3785.87,no,yes
93,-0.240893,0.80964065,-0.003407,293270.51,293282.93,3819.72,3462.36,no,yes
94,-0.558084,0.57679333,-0.007892,293268.16,293280.54,1604.00,1533.14,no,yes
95,-0.345647,0.72961205,-0.004888,293531.77,293538.09,1539.53,987.63,no,yes
96,-1.212710,0.22525948,-0.017150,293282.60,293321.38,1514.90,2815.76,no,yes
97,0.210156,0.83354791,0.002972,293279.43,293274.98,1539.28,1456.70,no,yes
98,-2.770904,0.00559925,-0.039187,293169.02,293257.73,784.77,3103.75,yes,yes
99,0.090123,0.92819000,0.001275,293426.73,293418.83,6347.33,6055.62,no,yes
100,0.543286,0.58693952,0.007683,293563.89,293548.15,2300.31,1761.71,no,yes
101,0.373308,0.70892306,0.005279,293305.82,293285.51,3960.06,3728.93,no,yes
102,-1.097594,0.27239747,-0.015522,293560.22,293612.38,2514.81,4031.70,no,yes
103,0.170581,0.86455519,0.002412,293562.33,293560.25,882.92,844.07,no,yes
104,0.423192,0.67216023,0.005985,293268.06,293246.40,4143.56,3002.06,no,yes
105,0.166282,0.86793682,0.002352,293268.55,293261.09,3394.05,2942.09,no,yes
106,-0.216811,0.82835773,-0.003066,293256.68,293260.97,1298.75,1492.85,no,yes
107,0.521888,0.60175473,0.007381,293347.64,293339.58,1229.23,937.52,no,yes
108,0.888550,0.37425985,0.012566,307161.92,307134.35,2797.52,1342.02,no,yes
109,0.206310,0.83655076,0.002918,293259.80,293249.59,3703.16,3280.32,no,yes
110,0.285691,0.77511787,0.004040,293316.19,293303.02,3493.23,3007.67,no,yes
111,-0.729546,0.46567808,-0.010317,293455.10,293512.35,4224.65,6613.68,no,yes
112,0.589759,0.55535897,0.008340,293352.63,293343.51,1115.08,1072.52,no,yes
113,-1.420413,0.15550758,-0.020088,293404.98,293433.42,970.71,1751.17,no,yes
114,1.745521,0.08091004,0.024685,293229.50,293203.63,1131.51,957.19,no,yes
115,0.609467,0.54222414,0.008619,293494.29,293463.69,4428.03,2366.32,no,yes
116,-0.104478,0.91679145,-0.001478,361906.26,361908.28,1247.20,1469.48,no,yes
117,-1.526236,0.12697263,-0.021584,293246.67,293311.12,1897.12,3773.13,no,yes
118,-1.232819,0.21766187,-0.017435,293277.06,293339.53,2429.36,4446.95,no,yes
119,1.185280,0.23592455,0.016762,293171.80,293149.33,1653.10,927.96,no,yes
120,-0.140351,0.88838388,-0.001985,306173.50,306185.38,6000.57,5969.97,no,yes
121,-0.072150,0.94248294,-0.001020,293286.19,293287.06,900.34,803.77,no,yes
122,-0.343906,0.73092072,-0.004864,293842.48,293847.65,1155.94,963.12,no,yes
123,-0.486586,0.62655732,-0.006881,361875.05,361883.12,1163.68,1184.26,no,yes
124,0.398975,0.68991628,0.005642,293586.66,293550.57,6736.80,6037.01,no,yes
125,0.254992,0.79873206,0.003606,293328.60,293324.70,1055.21,1111.43,no,yes
126,-0.861485,0.38898150,-0.012183,293571.24,293586.18,1124.59,1321.30,no,yes
127,-0.328721,0.74236983,-0.004649,293399.47,293403.62,856.17,927.46,no,yes
128,-0.421035,0.67373413,-0.005954,293590.82,293607.28,2633.19,2887.59,no,yes
129,-0.289822,0.77195565,-0.004099,303966.21,303970.61,1081.19,1063.66,no,yes
130,-1.913084,0.05575335,-0.027055,293390.22,293420.46,894.33,1302.99,no,yes
131,1.414157,0.15733341,0.019999,293593.30,293562.09,1826.98,1238.18,no,yes
132,0.807532,0.41937018,0.011420,390847.31,390830.85,1582.23,1284.81,no,yes
133,-0.565937,0.57144316,-0.008004,293617.55,293649.31,3483.02,4399.02,no,yes
134,-0.239787,0.81049778,-0.003391,293594.16,293599.63,1418.23,1788.34,no,yes
135,1.187717,0.23495962,0.016797,293438.57,293417.20,1380.27,1153.72,no,yes
