run,t_stat,p_value,cohens_d,fixed_mean_ns,random_mean_ns,fixed_std_ns,random_std_ns,significant,negligible
1106,1.569959,0.11644076,0.022203,293625.30,293598.39,1295.19,1122.64,no,yes
1107,-0.089358,0.92879863,-0.001264,293628.22,293631.92,2795.42,3060.23,no,yes
1108,-0.836610,0.40282186,-0.011831,293424.38,293456.21,2618.91,2759.46,no,yes
1109,0.686515,0.49239669,0.009709,293806.73,293774.01,3645.15,3070.02,no,yes
1110,-1.400397,0.16141110,-0.019805,293308.28,293327.09,803.16,1076.07,no,yes
1111,0.187240,0.85147408,0.002648,293416.69,293413.74,1159.17,1064.44,no,yes
1112,-1.687851,0.09146005,-0.023870,293391.66,293426.25,979.91,1799.98,no,yes
1113,-0.265004,0.79100949,-0.003748,293418.65,293422.82,1146.10,1081.63,no,yes
1114,1.209651,0.22642982,0.017107,293323.63,293265.56,4077.93,2533.72,no,yes
1115,0.165104,0.86886358,0.002335,293387.11,293384.89,925.17,980.39,no,yes
1116,1.825735,0.06790906,0.025820,293221.68,293188.52,1580.98,894.69,no,yes
1117,-0.568389,0.56977733,-0.008038,293551.49,293558.77,942.52,866.81,no,yes
1118,1.464250,0.14314387,0.020708,293535.71,293461.43,4250.59,2769.65,no,yes
1119,-0.259189,0.79549191,-0.003665,293443.03,293456.17,3446.52,3719.44,no,yes
1120,-0.328247,0.74272834,-0.004642,293625.73,293643.12,3514.79,3966.29,no,yes
1121,-0.990884,0.32175602,-0.014013,293171.37,293195.58,1358.22,2030.71,no,yes
1122,-0.303286,0.76167494,-0.004289,293469.74,293484.97,3150.22,3912.59,no,yes
1123,1.208678,0.22680343,0.017093,293554.94,293510.19,3118.13,1996.42,no,yes
1124,0.042899,0.96578270,0.000607,293325.92,293324.08,3432.16,2568.51,no,yes
1125,0.982148,0.32604064,0.013890,293315.54,293291.12,2067.80,1381.15,no,yes
1126,0.840294,0.40075380,0.011884,293499.51,293480.94,1658.28,1460.10,no,yes
1127,1.680716,0.09284358,0.023769,293303.03,293224.08,4448.08,1509.13,no,yes
1128,0.430746,0.66665791,0.006092,390922.58,390914.92,1300.46,1210.38,no,yes
1129,-0.749049,0.45383695,-0.010593,293241.21,293258.23,1359.85,1820.34,no,yes
1130,-0.372358,0.70963032,-0.005266,293417.40,293424.48,1188.51,1484.17,no,yes
1131,0.594068,0.55247430,0.008401,293239.46,293222.12,2379.86,1690.32,no,yes
1132,0.920363,0.35739499,0.013016,293379.35,293365.80,1170.08,894.12,no,yes
1133,0.126971,0.89896454,0.001796,293358.90,293356.85,1156.80,1127.77,no,yes
1134,-1.251624,0.21072282,-0.017701,293434.03,293454.20,962.05,1292.87,no,yes
1135,-1.097007,0.27265283,-0.015514,293428.40,293469.24,2172.51,3023.48,no,yes
1136,0.094190,0.92495894,0.001332,293535.71,293534.47,1016.22,845.74,no,yes
1137,-0.430828,0.66659838,-0.006093,301372.31,301397.77,3717.24,4593.33,no,yes
1138,0.529216,0.59666252,0.007484,293423.04,293413.61,1497.17,965.15,no,yes
1139,-0.088309,0.92963204,-0.001249,293457.12,293463.10,4981.44,4598.90,no,yes
1140,-0.242418,0.80845873,-0.003428,293479.27,293487.48,2010.02,2723.47,no,yes
1141,1.039784,0.29845470,0.014705,293405.35,293336.11,5566.41,3654.26,no,yes
1142,0.394606,0.69313783,0.005581,293248.45,293242.14,1149.67,1110.26,no,yes
1143,0.770461,0.44103777,0.010896,293273.54,293241.40,3585.06,2131.83,no,yes
1144,-0.283078,0.77712028,-0.004003,361874.79,361880.20,1168.97,1511.76,no,yes
1145,0.676956,0.49844172,0.009574,293545.68,293530.56,1674.20,1477.47,no,yes
1146,0.116997,0.90686339,0.001655,293411.15,293404.58,4190.20,3740.79,no,yes
1147,-0.006023,0.99519429,-0.000085,293223.04,293223.15,1348.69,1342.06,no,yes
1148,-0.377918,0.70549568,-0.005345,293423.21,293428.82,1042.83,1055.04,no,yes
1149,0.529159,0.59670111,0.007483,293291.79,293280.44,1510.19,1524.93,no,yes
1150,0.828424,0.40744042,0.011716,293312.14,293301.39,999.98,826.40,no,yes
1151,1.988085,0.04682150,0.028116,293407.46,293346.51,2775.09,1302.16,yes,yes
1152,0.581033,0.56122548,0.008217,293299.81,293286.64,1889.08,1252.82,no,yes
1153,-0.123947,0.90135827,-0.001753,293327.47,293330.64,1652.19,1954.89,no,yes
1154,-0.241702,0.80901343,-0.003418,293285.38,293297.88,3564.57,3745.26,no,yes
1155,0.310780,0.75597135,0.004395,293495.23,293488.11,1699.84,1532.83,no,yes
1156,-1.189457,0.23427420,-0.016821,293509.16,293525.36,933.49,992.77,no,yes
1157,0.636264,0.52461188,0.008998,293591.33,293561.25,3679.49,2967.72,no,yes
1158,-0.738899,0.45997745,-0.010450,293240.84,293261.25,1745.12,2141.19,no,yes
1159,-0.724761,0.46860770,-0.010250,293825.59,293862.22,2954.89,4099.33,no,yes
1160,1.398377,0.16201772,0.019776,293201.30,293177.98,1389.58,921.95,no,yes
1161,-0.135608,0.89213240,-0.001918,293414.25,293419.18,2390.13,2744.23,no,yes
1162,0.692185,0.48882962,0.009789,293353.22,293344.95,897.21,790.47,no,yes
1163,-0.016829,0.98657287,-0.000238,293329.15,293329.96,3552.17,3265.21,no,yes
1164,0.045969,0.96333543,0.000650,293500.18,293498.91,1827.86,2062.33,no,yes
1165,-0.196039,0.84458176,-0.002772,293227.48,293230.85,1259.07,1169.37,no,yes
1166,0.303864,0.76123459,0.004297,294711.30,294701.96,2201.16,2143.06,no,yes
1167,-0.233533,0.81535039,-0.003303,293231.95,293238.77,1553.10,2473.03,no,yes
1168,0.989632,0.32236614,0.013996,293268.39,293250.06,1400.30,1212.03,no,yes
1169,-0.626195,0.53119559,-0.008856,293371.44,293392.93,1834.48,2898.87,no,yes
1170,0.000432,0.99965554,0.000006,293475.34,293475.33,1648.05,1820.00,no,yes
1171,1.185262,0.23593151,0.016762,293289.29,293252.90,2656.35,1539.66,no,yes
1172,0.344943,0.73014221,0.004878,293348.74,293339.23,1198.72,2482.55,no,yes
1173,1.439643,0.14998409,0.020360,293419.24,293396.67,1153.13,1062.28,no,yes
1174,1.634585,0.10215870,0.023117,293411.27,293368.69,2373.34,1072.58,no,yes
1175,-0.069765,0.94438139,-0.000987,303306.56,303308.40,1745.67,1984.29,no,yes
1176,0.175858,0.86040773,0.002487,293300.06,293291.66,3663.54,3068.73,no,yes
1177,0.496061,0.61985708,0.007015,299641.91,299609.51,5251.84,3883.42,no,yes
1178,0.420598,0.67405328,0.005948,293564.44,293558.15,982.59,1126.50,no,yes
1179,-0.477548,0.63297694,-0.006754,293225.97,293243.01,2521.14,2523.91,no,yes
1180,1.201507,0.22957010,0.016992,293350.47,293285.13,4386.21,3215.30,no,yes
1181,-0.024726,0.98027365,-0.000350,293491.34,293492.31,2677.77,2864.16,no,yes
1182,0.238924,0.81116688,0.003379,294858.34,294844.55,4265.80,3885.69,no,yes
1183,-0.018754,0.98503756,-0.000265,293526.38,293527.01,1868.90,2796.55,no,yes
1184,-0.264921,0.79107316,-0.003747,293861.71,293888.03,6727.34,7315.07,no,yes
1185,0.149201,0.88139639,0.002110,293348.20,293344.83,1724.57,1455.70,no,yes
1186,1.695280,0.09004199,0.023975,293305.16,293251.14,2767.25,1579.84,no,yes
1187,0.938603,0.34794604,0.013274,293246.35,293224.43,1757.48,1538.47,no,yes
1188,-0.131885,0.89507652,-0.001865,293674.11,293677.08,1586.19,1600.04,no,yes
1189,-0.095166,0.92418421,-0.001346,293472.02,293474.76,1278.20,2579.19,no,yes
1190,0.903270,0.36639684,0.012774,293463.22,293445.53,1735.52,906.38,no,yes
1191,1.089002,0.27616808,0.015401,293509.33,293474.61,2670.86,1740.32,no,yes
1192,0.217712,0.82765538,0.003079,293470.23,293466.10,1421.96,1261.88,no,yes
1193,-0.241205,0.80939853,-0.003411,293588.21,293595.64,1885.78,2435.98,no,yes
1194,-0.332983,0.73915036,-0.004709,301342.81,301361.00,3788.88,3935.58,no,yes
1195,0.714407,0.47498417,0.010103,293643.07,293631.13,1250.49,1108.71,no,yes
1196,-0.408252,0.68309289,-0.005774,293501.39,293510.91,1675.76,1621.23,no,yes
1197,0.291235,0.77087454,0.004119,293355.50,293351.45,1055.80,904.79,no,yes
1198,-0.315232,0.75258887,-0.004458,293316.09,293320.82,1017.40,1102.97,no,yes
1199,0.267472,0.78910824,0.003783,293431.06,293426.84,1131.65,1098.67,no,yes
1200,0.076875,0.93872413,0.001087,293238.75,293237.41,1093.38,1358.88,no,yes
1201,-0.156402,0.87571782,-0.002212,293239.73,293243.49,1491.03,1889.82,no,yes
1202,0.955570,0.33930610,0.013514,293290.31,293247.85,4067.05,1791.39,no,yes
1203,1.954529,0.05065673,0.027641,293592.86,293559.70,1489.12,813.02,no,yes
1204,0.317520,0.75085231,0.004490,293370.98,293365.23,1313.05,1244.97,no,yes
1205,0.321218,0.74804833,0.004543,293329.74,293317.10,2929.76,2627.93,no,yes
1206,0.993303,0.32057461,0.014047,293553.29,293539.30,1079.34,905.49,no,yes
1207,-1.255758,0.20922152,-0.017759,293558.34,293580.15,903.12,1484.36,no,yes
1208,-0.304440,0.76079581,-0.004305,293336.36,293345.52,1955.36,2285.81,no,yes
1209,-0.440756,0.65939435,-0.006233,293319.34,293325.27,998.48,902.67,no,yes
1210,0.476087,0.63401783,0.006733,293741.18,293723.09,2672.65,2700.37,no,yes
1211,-0.246009,0.80567824,-0.003479,293449.80,293458.06,2596.74,2130.16,no,yes
1212,-0.308755,0.75751121,-0.004366,298446.47,298450.69,972.91,959.32,no,yes
1213,0.704338,0.48123082,0.009961,293247.46,293228.98,1865.90,1844.39,no,yes
1214,0.138870,0.88955427,0.001964,293395.39,293391.32,1756.17,2346.10,no,yes
1215,-0.239356,0.81083217,-0.003385,293411.82,293417.66,1928.23,1499.46,no,yes
1216,-0.787017,0.43128181,-0.011130,293258.91,293272.98,1375.59,1142.00,no,yes
1217,0.360520,0.71846231,0.005099,293256.11,293242.02,3145.36,2320.74,no,yes
1218,0.738863,0.45999946,0.010449,293435.26,293419.35,1660.03,1370.55,no,yes
1219,0.173390,0.86234656,0.002452,293362.04,293357.13,2048.96,1952.90,no,yes
1220,1.033308,0.30147264,0.014613,293485.56,293463.84,1613.09,1347.43,no,yes
1221,0.545675,0.58529546,0.007717,293644.83,293631.77,1706.80,1679.35,no,yes
1222,-0.616443,0.53761022,-0.008718,293361.92,293386.56,2234.95,3313.50,no,yes
1223,-0.360948,0.71814298,-0.005105,293302.97,293309.44,931.09,1531.22,no,yes
1224,0.392181,0.69492861,0.005546,293350.06,293342.31,1494.51,1295.44,no,yes
1225,0.416419,0.67710780,0.005889,305911.89,305898.63,2198.97,2303.76,no,yes
1226,-0.698762,0.48471086,-0.009882,293407.15,293424.37,1270.98,2110.68,no,yes
1227,0.576369,0.56437246,0.008151,293615.97,293598.04,2262.71,2133.63,no,yes
1228,-0.724518,0.46875629,-0.010246,302216.33,302244.30,2841.81,2612.16,no,yes
1229,-0.471891,0.63700986,-0.006674,293217.37,293232.64,2222.75,2349.06,no,yes
1230,0.624493,0.53231104,0.008832,293408.68,293394.81,1498.98,1637.27,no,yes
1231,1.031529,0.30230590,0.014588,293476.07,293436.27,2979.28,2451.72,no,yes
1232,-0.043139,0.96559114,-0.000610,293330.63,293331.19,890.48,917.94,no,yes
1233,-1.586944,0.11254690,-0.022443,293344.49,293427.08,2328.73,4653.86,no,yes
1234,-0.387038,0.69873205,-0.005474,293363.61,293377.37,2570.94,2456.15,no,yes
1235,0.850437,0.39509256,0.012027,293415.64,293401.64,1265.86,1051.45,no,yes
1236,-0.086882,0.93076640,-0.001229,293369.85,293372.74,2357.80,2357.13,no,yes
1237,1.207840,0.22712307,0.017081,293531.42,293513.72,1090.59,978.86,no,yes
1238,-0.516448,0.60554714,-0.007304,293470.36,293494.49,3095.17,3501.80,no,yes
1239,-0.420342,0.67424028,-0.005945,293556.18,293595.08,6496.21,6591.10,no,yes
1240,-0.530312,0.59590194,-0.007500,293623.23,293640.00,2013.21,2437.29,no,yes
1241,-0.087353,0.93039159,-0.001235,293796.51,293798.94,1596.65,2276.29,no,yes
1242,-0.153433,0.87805813,-0.002170,293287.18,293292.64,2287.90,2720.30,no,yes
1243,-0.542863,0.58723054,-0.007677,293433.53,293449.82,1904.99,2320.17,no,yes
1244,0.054513,0.95652734,0.000771,293360.87,293359.45,1827.74,1848.31,no,yes
1245,1.291931,0.19639966,0.018271,293581.53,293551.16,2036.58,1173.58,no,yes
1246,-1.411655,0.15807301,-0.019964,293316.03,293363.99,1487.75,3054.20,no,yes
1247,0.319224,0.74955975,0.004515,293455.74,293448.26,1657.63,1656.26,no,yes
1248,-0.059658,0.95242899,-0.000844,303308.01,303311.50,4013.35,4255.62,no,yes
1249,0.075750,0.93961887,0.001071,293451.49,293449.45,2195.47,1560.58,no,yes
1250,0.197613,0.84334988,0.002795,293531.61,293523.69,3063.60,2584.71,no,yes
1251,-0.319581,0.74928979,-0.004520,293423.60,293434.70,2793.28,2064.37,no,yes
1252,-0.628666,0.52957498,-0.008891,293405.78,293414.86,934.53,1101.39,no,yes
1253,0.289031,0.77256088,0.004088,293429.14,293416.31,3482.69,2751.50,no,yes
1254,-0.807253,0.41953235,-0.011416,293257.39,293289.49,2131.38,3356.61,no,yes
1255,0.395760,0.69228655,0.005597,293460.56,293452.85,1245.32,1497.89,no,yes
1256,0.268115,0.78861328,0.003792,293752.62,293731.95,5593.45,5305.16,no,yes
1257,-1.785180,0.07425046,-0.025246,293392.95,293428.69,1040.31,1710.45,no,yes
1258,-0.316462,0.75165605,-0.004475,293551.48,293560.15,1481.28,2303.72,no,yes
1259,-0.116953,0.90689838,-0.001654,293609.00,293614.91,3705.38,3429.83,no,yes
1260,-1.041795,0.29752116,-0.014733,293251.85,293303.81,2726.68,4175.35,no,yes
1261,1.099602,0.27151864,0.015551,293615.80,293585.18,2031.00,1904.77,no,yes
1262,-0.002056,0.99835994,-0.000029,293489.15,293489.22,2059.23,2210.58,no,yes
1263,-0.794666,0.42681935,-0.011238,293327.83,293364.43,2343.03,3965.56,no,yes
1264,0.385402,0.69994358,0.005450,293656.53,293646.50,1695.19,1973.27,no,yes
1265,-0.442899,0.65784410,-0.006264,293514.55,293528.95,1874.77,2656.69,no,yes
1266,0.307610,0.75838246,0.004350,293571.77,293566.21,1277.11,1279.61,no,yes
1267,1.570354,0.11634947,0.022208,293452.95,293424.83,1413.04,1099.79,no,yes
1268,-1.368974,0.17102876,-0.019360,293213.29,293288.10,2384.03,4916.89,no,yes
1269,2.213406,0.02688126,0.031302,293788.77,293725.07,2200.51,1854.84,yes,yes
1270,0.874309,0.38196041,0.012365,293412.86,293398.01,1214.34,1187.53,no,yes
1271,-0.478009,0.63264966,-0.006760,293825.13,293839.82,1843.26,2457.10,no,yes
1272,-0.335376,0.73734527,-0.004743,293333.14,293348.79,3267.67,3329.81,no,yes
1273,0.335256,0.73743586,0.004741,293340.59,293335.22,1104.98,1158.12,no,yes
1274,1.441328,0.14951431,0.020383,293258.53,293218.83,2504.42,1145.78,no,yes
1275,0.482533,0.62943303,0.006824,293587.75,293575.37,2031.36,1566.66,no,yes
1276,1.011437,0.31182532,0.014304,293375.37,293340.52,3176.46,1336.54,no,yes
1277,0.697738,0.48534964,0.009868,293327.30,293294.94,3638.93,2874.34,no,yes
1278,-1.093137,0.27435089,-0.015459,293748.74,293772.43,1025.23,1909.78,no,yes
1279,0.065344,0.94790101,0.000924,302574.69,302573.57,1123.47,1299.33,no,yes
1280,0.259174,0.79550396,0.003665,293554.26,293544.40,2916.07,2440.77,no,yes
1281,0.147223,0.88295759,0.002082,293635.66,293632.36,1717.52,1442.19,no,yes
1282,-0.307679,0.75833022,-0.004351,293590.04,293600.21,1935.06,2677.29,no,yes
1283,0.993150,0.32064901,0.014045,293343.74,293326.97,1227.69,1159.21,no,yes
1284,0.539622,0.58946396,0.007631,293597.11,293582.38,1812.71,2039.56,no,yes
1285,0.076641,0.93891019,0.001084,293305.69,293302.27,2911.30,3386.88,no,yes
1286,-0.039710,0.96832487,-0.000562,293260.92,293261.87,1614.29,1768.36,no,yes
1287,2.208237,0.02723920,0.031229,293232.29,293200.15,1090.80,963.10,yes,yes
1288,0.201377,0.84040606,0.002848,293418.70,293415.64,1064.51,1084.21,no,yes
1289,0.459195,0.64609954,0.006494,293718.33,293692.55,4254.19,3663.21,no,yes
1290,-1.406428,0.15961298,-0.019890,293383.39,293400.31,777.13,918.35,no,yes
1291,0.010274,0.99180265,0.000145,293523.58,293523.01,3945.04,3882.73,no,yes
1292,-0.345288,0.72988143,-0.004883,293433.86,293440.17,1297.56,1284.95,no,yes
1293,0.537349,0.59103292,0.007599,293384.00,293352.16,4415.00,3950.82,no,yes
1294,0.027411,0.97813242,0.000388,293562.58,293562.18,1109.82,992.44,no,yes
1295,-0.042242,0.96630616,-0.000597,293510.39,293512.67,3720.41,3903.85,no,yes
1296,-0.756769,0.44919943,-0.010702,293498.94,293515.89,1091.11,1955.95,no,yes
1297,-1.986411,0.04700919,-0.028092,293257.16,293356.35,1736.38,4682.13,yes,yes
1298,-0.024133,0.98074646,-0.000341,293307.81,293308.18,1111.44,1016.55,no,yes
1299,0.613744,0.53939159,0.008680,293376.59,293366.11,1216.64,1198.57,no,yes
1300,1.000997,0.31684063,0.014156,293566.30,293550.68,1203.39,993.38,no,yes
1301,-1.090049,0.27571170,-0.015416,293408.13,293439.54,1054.61,2681.74,no,yes
1302,0.307697,0.75831631,0.004351,293447.02,293437.15,2246.52,2286.88,no,yes
1303,-1.139253,0.25461328,-0.016111,293608.94,293669.75,2964.15,4439.18,no,yes
1304,0.113292,0.90980007,0.001602,293185.89,293184.26,1095.06,932.38,no,yes
1305,-0.833716,0.40445163,-0.011791,293456.37,293471.11,1117.19,1370.08,no,yes
1306,-0.302516,0.76226159,-0.004278,293266.43,293273.90,1647.51,1838.83,no,yes
1307,-0.321570,0.74778225,-0.004548,293290.52,293308.62,3505.92,4406.36,no,yes
1308,-1.181116,0.23757187,-0.016704,294476.17,294492.28,804.24,1101.93,no,yes
1309,0.852257,0.39408230,0.012053,293562.01,293551.32,969.81,796.41,no,yes
1310,0.302549,0.76223701,0.004279,293685.04,293667.51,4696.37,3395.06,no,yes
1311,0.498659,0.61802531,0.007052,293265.25,293247.85,2604.26,2324.64,no,yes
1312,0.115030,0.90842263,0.001627,293525.32,293523.42,1076.96,1244.21,no,yes
1313,0.731748,0.46433160,0.010348,293277.41,293267.96,1032.24,776.26,no,yes
1314,0.177315,0.85926312,0.002508,293459.61,293450.01,3934.91,3713.48,no,yes
1315,0.307104,0.75876708,0.004343,293506.81,293499.94,1581.32,1582.95,no,yes
1316,-0.081657,0.93492051,-0.001155,293605.65,293606.81,1035.91,983.14,no,yes
1317,0.528396,0.59723061,0.007473,293294.80,293278.00,2540.07,1912.98,no,yes
1318,1.536244,0.12449839,0.021726,293372.28,293316.75,3133.89,1801.43,no,yes
1319,-1.280820,0.20027415,-0.018114,293726.66,293802.99,3299.45,4962.31,no,yes
1320,1.301076,0.19325031,0.018400,293541.72,293481.89,3910.22,2421.03,no,yes
1321,-0.523648,0.60052952,-0.007405,293773.04,293783.30,1315.01,1451.12,no,yes
1322,0.540019,0.58919099,0.007637,293332.72,293301.57,4813.55,3175.67,no,yes
1323,-1.012958,0.31109541,-0.014325,293512.11,293566.26,2694.87,4617.01,no,yes
1324,-0.363026,0.71658920,-0.005134,293468.59,293485.05,3216.83,3197.21,no,yes
1325,1.074417,0.28264950,0.015195,293456.09,293409.59,3353.41,2736.48,no,yes
1326,0.420254,0.67430414,0.005943,293467.83,293452.73,2452.88,2627.79,no,yes
1327,0.853450,0.39341988,0.012070,293466.52,293419.05,3966.83,3898.73,no,yes
1328,2.197064,0.02803044,0.031071,293940.38,293823.74,4630.44,2596.94,yes,yes
1329,0.625398,0.53171802,0.008844,293298.65,293281.66,2202.78,1590.49,no,yes
1330,1.396509,0.16257960,0.019750,293290.86,293231.02,3612.03,2305.08,no,yes
1331,-0.944403,0.34497558,-0.013356,303254.31,303307.25,3547.94,4339.01,no,yes
1332,-0.382215,0.70230604,-0.005405,293499.97,293513.97,2253.78,2887.78,no,yes
1333,0.383060,0.70167948,0.005417,293463.47,293452.14,2142.55,2041.12,no,yes
1334,-0.270034,0.78713693,-0.003819,293296.04,293305.57,2649.24,2332.39,no,yes
1335,-0.272811,0.78500153,-0.003858,293604.50,293612.44,2101.24,2014.24,no,yes
1336,-0.134394,0.89309250,-0.001901,293470.39,293474.23,2015.12,2023.88,no,yes
1337,-0.014107,0.98874491,-0.000200,293438.62,293439.14,2534.40,2646.34,no,yes
1338,0.258565,0.79597361,0.003657,293452.87,293446.12,2040.36,1629.59,no,yes
1339,-0.427236,0.66921199,-0.006042,293568.15,293575.07,1141.51,1150.32,no,yes
1340,0.091290,0.92726350,0.001291,293280.50,293278.03,1634.35,2159.45,no,yes
1341,0.935314,0.34963820,0.013227,293343.01,293329.50,1078.12,961.55,no,yes
1342,0.915820,0.35977259,0.012952,293225.88,293214.81,888.76,818.99,no,yes
1343,0.220105,0.82579178,0.003113,293536.47,293529.49,2402.89,2065.72,no,yes
1344,0.634841,0.52553981,0.008978,293239.81,293222.33,2178.58,1684.41,no,yes
1345,-0.399321,0.68966074,-0.005647,293404.00,293416.26,2092.62,2245.07,no,yes
1346,2.348249,0.01887537,0.033209,293688.79,293593.00,3674.78,1770.34,yes,yes
1347,-0.330454,0.74106086,-0.004673,293466.67,293474.46,1846.15,1465.86,no,yes
1348,0.343144,0.73149405,0.004853,293572.11,293566.22,1166.20,1258.85,no,yes
1349,-0.120849,0.90381164,-0.001709,293188.60,293190.77,1119.41,1398.06,no,yes
1350,0.687987,0.49147065,0.009730,293386.12,293352.00,4268.67,2524.35,no,yes
1351,0.481307,0.63030357,0.006807,293427.33,293402.26,3892.31,3461.30,no,yes
1352,0.192415,0.84741916,0.002721,293343.66,293338.97,1675.03,1775.28,no,yes
1353,0.613059,0.53984532,0.008670,305919.24,305907.58,1577.33,1061.33,no,yes
1354,0.837499,0.40232428,0.011844,293578.40,293546.06,3333.95,1948.58,no,yes
1355,-0.190583,0.84885443,-0.002695,293543.93,293549.90,2442.14,1961.26,no,yes
1356,-0.371505,0.71026544,-0.005254,293344.17,293354.70,1899.91,2101.73,no,yes
1357,0.278722,0.78046089,0.003942,293360.39,293354.12,1735.14,1427.63,no,yes
1358,0.135876,0.89192077,0.001922,293235.83,293232.96,1511.95,1468.41,no,yes
1359,0.269587,0.78748060,0.003813,293356.26,293349.49,1802.30,1751.24,no,yes
1360,1.040808,0.29797879,0.014719,293285.97,293231.28,4349.12,2948.75,no,yes
1361,-0.461971,0.64410742,-0.006533,305831.99,305847.47,1936.89,2734.33,no,yes
1362,-1.075889,0.28198986,-0.015215,293370.95,293389.71,1172.84,1289.83,no,yes
1363,0.364493,0.71549376,0.005155,293573.87,293556.87,3280.32,3316.61,no,yes
1364,0.577126,0.56386188,0.008162,293316.39,293303.29,1863.04,1295.66,no,yes
1365,-0.531700,0.59493979,-0.007519,293581.14,293590.95,1203.48,1399.92,no,yes
1366,-0.133183,0.89405031,-0.001883,293377.28,293384.26,3677.73,3733.11,no,yes
1367,0.197780,0.84321926,0.002797,293419.50,293416.46,1094.50,1079.68,no,yes
1368,1.694566,0.09017350,0.023965,293310.34,293278.69,1400.33,1235.25,no,yes
1369,0.960346,0.33689286,0.013581,293442.33,293422.86,1458.47,1408.37,no,yes
1370,0.655243,0.51231975,0.009267,293454.64,293425.48,3595.71,2621.99,no,yes
1371,-1.274267,0.20259058,-0.018021,293722.33,293756.04,1057.21,2424.97,no,yes
1372,-0.245181,0.80631885,-0.003467,293344.49,293352.59,2486.02,2178.26,no,yes
1373,-0.644667,0.51915056,-0.009117,293567.24,293586.89,2190.61,2121.27,no,yes
1374,0.139436,0.88910717,0.001972,293251.60,293248.04,1712.21,1887.72,no,yes
1375,-0.066378,0.94707788,-0.000939,293379.68,293381.09,1789.05,1162.18,no,yes
1376,-0.311012,0.75579456,-0.004398,293393.13,293397.38,991.05,942.88,no,yes
1377,-0.210514,0.83326878,-0.002977,293296.18,293304.41,2719.26,2808.39,no,yes
1378,-0.260373,0.79457865,-0.003682,293543.18,293548.99,1417.37,1723.89,no,yes
1379,0.231697,0.81677571,0.003277,293622.00,293613.89,2471.56,2483.30,no,yes
1380,-0.027161,0.97833161,-0.000384,293523.81,293524.77,2311.47,2692.84,no,yes
1381,0.232292,0.81631336,0.003285,300073.61,299975.55,28089.32,31507.71,no,yes
1382,-0.119113,0.90518686,-0.001685,293429.68,293432.45,1686.49,1605.69,no,yes
1383,-0.997746,0.31841456,-0.014110,293447.81,293481.62,2286.11,2501.57,no,yes
1384,0.107191,0.91463827,0.001516,293371.62,293369.56,1305.72,1416.71,no,yes
1385,-0.434432,0.66397956,-0.006144,293635.56,293655.74,2831.66,3681.98,no,yes
1386,-0.640056,0.52214684,-0.009052,293558.62,293576.19,1080.87,2523.34,no,yes
1387,0.857768,0.39103351,0.012131,293677.67,293653.46,2443.21,1413.51,no,yes
1388,1.108772,0.26754448,0.015680,293634.03,293597.72,2789.79,1714.79,no,yes
1389,0.241932,0.80883580,0.003421,293220.08,293215.07,1743.45,1116.93,no,yes
1390,0.033915,0.97294547,0.000480,293521.06,293519.66,2968.28,2839.81,no,yes
1391,-2.011783,0.04426286,-0.028451,293209.56,293256.69,898.79,2163.45,yes,yes
1392,0.523562,0.60058887,0.007404,293171.13,293164.06,931.64,975.59,no,yes
1393,0.979834,0.32718077,0.013857,293452.07,293399.29,4340.25,3190.15,no,yes
1394,0.892359,0.37221187,0.012620,307247.02,307228.74,1634.78,1234.13,no,yes
1395,0.455379,0.64884231,0.006440,293629.13,293618.99,1839.27,1257.16,no,yes
1396,-1.378926,0.16794364,-0.019501,293437.23,293479.46,888.44,2930.96,no,yes
1397,-0.856942,0.39148793,-0.012119,293439.35,293462.42,1658.29,2119.95,no,yes
1398,2.048057,0.04057489,0.028964,293408.86,293348.30,2772.19,1028.72,yes,yes
1399,0.459105,0.64616400,0.006493,293499.24,293479.98,3241.82,2662.53,no,yes
1400,0.105964,0.91561227,0.001499,293533.16,293530.63,1573.60,1788.02,no,yes
1401,-0.526204,0.59875333,-0.007442,293460.72,293479.71,1923.42,3053.85,no,yes
1402,0.736682,0.46132447,0.010418,293202.09,293190.45,1130.86,1104.79,no,yes
1403,0.503031,0.61494880,0.007114,293370.85,293349.06,3656.33,2323.64,no,yes
1404,-1.119100,0.26311235,-0.015826,293293.41,293323.36,1579.78,2159.85,no,yes
1405,0.302889,0.76197781,0.004283,293368.56,293364.02,1050.48,1071.19,no,yes
1406,1.710398,0.08721707,0.024189,293599.86,293512.37,4813.97,1730.10,no,yes
1407,-1.264439,0.20609251,-0.017882,293547.10,293574.27,952.13,1926.02,no,yes
1408,0.002648,0.99788730,0.000037,293518.18,293518.09,1867.26,2475.23,no,yes
1409,-0.266020,0.79022681,-0.003762,293162.67,293168.88,1892.59,1364.80,no,yes
1410,0.101928,0.91881484,0.001441,293365.58,293363.16,1758.76,1584.66,no,yes
1411,0.781172,0.43471085,0.011047,293559.54,293548.35,950.87,1072.14,no,yes
1412,0.257413,0.79686292,0.003640,293260.64,293253.23,1990.40,2079.69,no,yes
1413,1.803917,0.07126711,0.025511,293618.81,293540.86,4004.01,1624.92,no,yes
1414,1.136425,0.25579338,0.016071,293461.46,293400.20,4253.54,3311.91,no,yes
1415,-0.052825,0.95787210,-0.000747,293447.58,293451.91,5661.57,5927.05,no,yes
1416,-0.711276,0.47692158,-0.010059,293371.03,293385.52,1461.76,1419.03,no,yes
